chunk_id,condition_name,question,answer,section,source_url,source_path
ada-scid_symptoms_diagnosis_and_treatment::symptoms,"ADA-SCID: symptoms, diagnosis and treatment","What are the symptoms of ada-scid: symptoms, diagnosis and treatment?","Early symptoms in babies under 6 months include:

- frequent, severe infections, such as chronic diarrhoea or pneumonia
- slower growth and development than most children
- issues with their bones - for example, unusual rib-ends that may be seen on an x-ray of their chest
- breathing difficulties

As children grow older, symptoms can include:

- slow development of the central nervous system
- hearing problems - some children may lose their hearing over time
- learning and behavioural difficulties
- problems with organs such as their liver, kidneys or lungs",symptoms,https://www2.hse.ie/conditions/ada-scid/#symptoms-of-ada-scid,/conditions/ada-scid/
ada-scid_symptoms_diagnosis_and_treatment::diagnosing_ada-scid,"ADA-SCID: symptoms, diagnosis and treatment","What should I know about ada-scid: symptoms, diagnosis and treatment and diagnosing ada-scid?","At around 5 days old, your baby will be offered heel prick screening to check for ADA-SCID . This involves pricking your baby's heel to collect drops of blood to test.

If ADA-SCID is diagnosed, your baby is at risk of severe life-threatening infections and other complications. This can be avoided with early diagnosis and the correct treatment.",diagnosing_ada-scid,https://www2.hse.ie/conditions/ada-scid/#diagnosing-ada-scid,/conditions/ada-scid/
ada-scid_symptoms_diagnosis_and_treatment::how_ada-scid_is_inherited,"ADA-SCID: symptoms, diagnosis and treatment","What should I know about ada-scid: symptoms, diagnosis and treatment and how ada-scid is inherited?","ADA-SCID is caused by changes (mutations) in the ADA gene, which result in no or very low levels of the enzyme ADA.

Enzymes are protein substances that help speed up chemical reactions in the body.

If the body does not have enough of the ADA enzyme, a toxic substance called deoxyadenosine builds up. This stops cells from dividing properly. It makes it harder for the body to fight infections.

Both parents usually carry a copy of the gene. Their children have a 1 in 4 chance of being affected.",how_ada-scid_is_inherited,https://www2.hse.ie/conditions/ada-scid/#how-ada-scid-is-inherited,/conditions/ada-scid/
ada-scid_symptoms_diagnosis_and_treatment::treating_ada-scid,"ADA-SCID: symptoms, diagnosis and treatment","What should I know about ada-scid: symptoms, diagnosis and treatment and treating ada-scid?","Patients diagnosed with ADA-SCID will start on enzyme replacement therapy (ERT).

Enzyme replacement therapy corrects the ADA and adenosine levels in the blood. This usually leads to improved immune function.

Patients are also given treatments to protect them from severe infection, such as antibiotics and immunoglobulin replacement therapy. This combination of treatments can help keep the patient safe until they can get long-term treatment.

Long-term treatment options include:

- haematopoietic stem cell transplantation (HSCT)
- gene therapy

You need to travel abroad for HSCT and gene therapy.",treating_ada-scid,https://www2.hse.ie/conditions/ada-scid/#treating-ada-scid,/conditions/ada-scid/
abdominal_aortic_aneurysm::symptoms,Abdominal aortic aneurysm,What are the symptoms of abdominal aortic aneurysm?,"An abdominal aortic aneurysm (AAA) often does not cause any obvious symptoms.

You may only find out you have an AAA after tests for other conditions.",symptoms,https://www2.hse.ie/conditions/abdominal-aortic-aneurysm/#symptoms-of-an-abdominal-aortic-aneurysm,/conditions/abdominal-aortic-aneurysm/
abdominal_aortic_aneurysm::tests,Abdominal aortic aneurysm,How is abdominal aortic aneurysm diagnosed?,"If your GP thinks you may have an abdominal aortic aneurysm (AAA), they will refer you for an ultrasound. They may also refer you to a doctor that specialises in blood vessels.

During an ultrasound, a small device is placed on your tummy. The device is connected to a screen that shows images of the inside of your tummy.

The specialist doing the ultrasound can see if you have an AAA and how big it is. They will send a report to your doctor.

If you have an AAA, your doctor will tell you if it is:

- small - 3cm to 4.4cm or smaller
- medium - 4.5cm to 5.4cm
- large - 5.5cm or bigger

Ask your doctor if you're not sure what size your AAA is.",tests,https://www2.hse.ie/conditions/abdominal-aortic-aneurysm/#tests-for-an-abdominal-aortic-aneurysm,/conditions/abdominal-aortic-aneurysm/
abdominal_aortic_aneurysm::treatment,Abdominal aortic aneurysm,What is the treatment for abdominal aortic aneurysm?,"Treatment for an abdominal aortic aneurysm (AAA) depends on:

- the size of the AAA
- how fast it gets bigger
- if you have other health problems

If you have a small or medium AAA, your doctor may recommend lifestyle changes and regular scans to check the AAA. They will tell you how often you need to have scans.

They may also prescribe medicines if you have high blood pressure .

If you have a large AAA, your doctor will usually recommend surgery.

Treatment for an AAA",treatment,https://www2.hse.ie/conditions/abdominal-aortic-aneurysm/#treatment-for-an-abdominal-aortic-aneurysm,/conditions/abdominal-aortic-aneurysm/
abdominal_aortic_aneurysm::risk_factors,Abdominal aortic aneurysm,Who is at risk of abdominal aortic aneurysm?,"An abdominal aortic aneurysm (AAA) happens if the sides of the aorta get weak and swell outwards.

It's not always clear why this happens. But the risk is higher as you get older.

You may be more at risk if you:

- are a man age 60 or older
- are a woman age 65 or older
- have a family member with an AAA
- have high blood pressure
- have chronic obstructive pulmonary disease
- have high blood cholesterol
- have cardiovascular disease, such as heart disease or a history of stroke
- smoke or used to smoke
- have a condition called Marfan’s syndrome
- have a connective tissue disease - for example, Ehlers-Danlos syndrome

Contact a GP if you're worried you may be at risk of an AAA. They may refer you for a scan and suggest lifestyle changes to reduce your risk.",risk_factors,https://www2.hse.ie/conditions/abdominal-aortic-aneurysm/#whos-at-risk-of-an-abdominal-aortic-aneurysm,/conditions/abdominal-aortic-aneurysm/
abdominal_aortic_aneurysm::reducing_risks,Abdominal aortic aneurysm,How can the risk of abdominal aortic aneurysm be reduced?,To reduce your risk of getting an AAA or help to stop one getting bigger:,reducing_risks,https://www2.hse.ie/conditions/abdominal-aortic-aneurysm/#reducing-risks-of-an-abdominal-aortic-aneurysm,/conditions/abdominal-aortic-aneurysm/
abdominal_aortic_aneurysm::driving,Abdominal aortic aneurysm,Can I drive if I have abdominal aortic aneurysm?,"If you have an abdominal aortic aneurysm (AAA), you need to:

- get a medical report for driving from your doctor
- tell the National Driver Licence Service (NDLS)
- tell your insurance provider

You may have to stop driving if you have a large AAA or after surgery. Your doctor can tell you when it is safe for you to drive again after treatment.

Medical fitness to drive - ndls.ie",driving,https://www2.hse.ie/conditions/abdominal-aortic-aneurysm/#abdominal-aortic-aneurysm-and-driving,/conditions/abdominal-aortic-aneurysm/
abortion::having_an_abortion,Abortion,What should I know about abortion and having an abortion?,"- Before an abortion
- Types of abortion
- Medical abortion
- Surgical abortion
- After an abortion
- Risks of abortion",having_an_abortion,https://www2.hse.ie/conditions/abortion/#having-an-abortion,/conditions/abortion/
about_-_lynch_syndrome::lynch_syndrome_and_cancer_risk,About - Lynch syndrome,What should I know about about - lynch syndrome and lynch syndrome and cancer risk?,"Everyone has some risk of getting cancer - 1 in 2 people will develop some type of cancer during their lifetime.

If you have Lynch syndrome you are more likely to get certain types of cancer. You are also more likely to get these cancers at a younger age or more than once.

The cancers you are at a higher risk of getting depends on:

- which gene is affected
- your family history of cancer
- your age and sex

Lynch syndrome can cause:

- bowel cancer
- endometrial cancer - the most common type of cancer of the womb (uterus)

You may also have a higher risk of cancer of the:

- ovary
- prostate
- small bowel
- stomach
- pancreas
- gall bladder or biliary duct
- kidney, urinary tract and bladder
- brain
- skin

Not everyone with Lynch syndrome will get cancer.

How to reduce your risk of cancer if you have Lynch syndrome

How certain gene changes increase your cancer risk
A cell with DNA damage can lead to a cancer. But some genes protect us from getting cancer by repairing our DNA if it is damaged.
If you inherit a change to one of the genes that causes Lynch syndrome the gene cannot repair the cells properly. This means DNA damage can build up and cause cancer.

A cell with DNA damage can lead to a cancer. But some genes protect us from getting cancer by repairing our DNA if it is damaged.

If you inherit a change to one of the genes that causes Lynch syndrome the gene cannot repair the cells properly. This means DNA damage can build up and cause cancer.",lynch_syndrome_and_cancer_risk,https://www2.hse.ie/conditions/lynch-syndrome/#lynch-syndrome-and-cancer-risk,/conditions/lynch-syndrome/
about_-_lynch_syndrome::who_can_get_lynch_syndrome,About - Lynch syndrome,What should I know about about - lynch syndrome and who can get lynch syndrome?,"Lynch syndrome is inherited - the gene change passes from parent to child.

You have a 1 in 2 chance of inheriting the gene change if a parent has Lynch syndrome.

If you have Lynch syndrome, there is also a 1 in 2 chance that you will pass the gene change to your children.

It's estimated that about 1 in 280 people worldwide have Lynch syndrome. But most people do not know they have it. It is diagnosed by having a genetic test .",who_can_get_lynch_syndrome,https://www2.hse.ie/conditions/lynch-syndrome/#who-can-get-lynch-syndrome,/conditions/lynch-syndrome/
