condition_name,section,content,source_url,source_path
Abdominal aortic aneurysm,symptoms,"An abdominal aortic aneurysm (AAA) often does not cause any obvious symptoms.

You may only find out you have an AAA after tests for other conditions.",https://www2.hse.ie/conditions/abdominal-aortic-aneurysm/#symptoms-of-an-abdominal-aortic-aneurysm,/conditions/abdominal-aortic-aneurysm/
Abdominal aortic aneurysm,tests,"If your GP thinks you may have an abdominal aortic aneurysm (AAA), they will refer you for an ultrasound. They may also refer you to a doctor that specialises in blood vessels.

During an ultrasound, a small device is placed on your tummy. The device is connected to a screen that shows images of the inside of your tummy.

The specialist doing the ultrasound can see if you have an AAA and how big it is. They will send a report to your doctor.

If you have an AAA, your doctor will tell you if it is:

- small - 3cm to 4.4cm or smaller
- medium - 4.5cm to 5.4cm
- large - 5.5cm or bigger

Ask your doctor if you're not sure what size your AAA is.",https://www2.hse.ie/conditions/abdominal-aortic-aneurysm/#tests-for-an-abdominal-aortic-aneurysm,/conditions/abdominal-aortic-aneurysm/
Abdominal aortic aneurysm,treatment,"Treatment for an abdominal aortic aneurysm (AAA) depends on:

- the size of the AAA
- how fast it gets bigger
- if you have other health problems

If you have a small or medium AAA, your doctor may recommend lifestyle changes and regular scans to check the AAA. They will tell you how often you need to have scans.

They may also prescribe medicines if you have high blood pressure .

If you have a large AAA, your doctor will usually recommend surgery.

Treatment for an AAA",https://www2.hse.ie/conditions/abdominal-aortic-aneurysm/#treatment-for-an-abdominal-aortic-aneurysm,/conditions/abdominal-aortic-aneurysm/
Abdominal aortic aneurysm,reducing_risks,To reduce your risk of getting an AAA or help to stop one getting bigger:,https://www2.hse.ie/conditions/abdominal-aortic-aneurysm/#reducing-risks-of-an-abdominal-aortic-aneurysm,/conditions/abdominal-aortic-aneurysm/
Abdominal aortic aneurysm,risk_factors,"An abdominal aortic aneurysm (AAA) happens if the sides of the aorta get weak and swell outwards.

It's not always clear why this happens. But the risk is higher as you get older.

You may be more at risk if you:

- are a man age 60 or older
- are a woman age 65 or older
- have a family member with an AAA
- have high blood pressure
- have chronic obstructive pulmonary disease
- have high blood cholesterol
- have cardiovascular disease, such as heart disease or a history of stroke
- smoke or used to smoke
- have a condition called Marfan’s syndrome
- have a connective tissue disease - for example, Ehlers-Danlos syndrome

Contact a GP if you're worried you may be at risk of an AAA. They may refer you for a scan and suggest lifestyle changes to reduce your risk.",https://www2.hse.ie/conditions/abdominal-aortic-aneurysm/#whos-at-risk-of-an-abdominal-aortic-aneurysm,/conditions/abdominal-aortic-aneurysm/
Abdominal aortic aneurysm,driving,"If you have an abdominal aortic aneurysm (AAA), you need to:

- get a medical report for driving from your doctor
- tell the National Driver Licence Service (NDLS)
- tell your insurance provider

You may have to stop driving if you have a large AAA or after surgery. Your doctor can tell you when it is safe for you to drive again after treatment.

Medical fitness to drive - ndls.ie",https://www2.hse.ie/conditions/abdominal-aortic-aneurysm/#abdominal-aortic-aneurysm-and-driving,/conditions/abdominal-aortic-aneurysm/
Abortion,having_an_abortion,"- Before an abortion
- Types of abortion
- Medical abortion
- Surgical abortion
- After an abortion
- Risks of abortion",https://www2.hse.ie/conditions/abortion/#having-an-abortion,/conditions/abortion/
Abscess,symptoms,"A skin abscess often appears as a swollen, pus-filled lump under the surface of the skin. You may also have other symptoms of an infection, such as a high temperature and chills.",https://www2.hse.ie/conditions/abscess/#symptoms-of-an-abscess,/conditions/abscess/
Abscess,when_to_see_your_gp,"Talk to your GP if you think you have an abscess. They can examine a skin abscess or refer you to a hospital if they think you might have an internal abscess.

There are several tests available to help diagnose an abscess. The type of test depends on where the abscess is on your body.

Read about diagnosing an abscess",https://www2.hse.ie/conditions/abscess/#when-to-see-your-gp,/conditions/abscess/
Abscess,causes,"Most abscesses are caused by a bacterial infection.

Your immune system fights the bacteria with white blood cells.

When this happens, some nearby tissue dies, creating a hole that fills with pus to form an abscess. The pus contains a mixture of dead tissue, white blood cells and bacteria.

Internal abscesses often develop as a complication of an existing condition. For example, an infection somewhere else in your body.

Read about the causes of an abscess",https://www2.hse.ie/conditions/abscess/#causes-of-abscesses,/conditions/abscess/
Abscess,treating_an_abscess,"A small skin abscess may drain naturally. It may also shrink, dry up and disappear without any treatment.

You may need to treat a larger abscess with antibiotics, or the pus may need to be drained. This is done by inserting a needle through the skin or by making a small incision in the skin over the abscess.

Read more about treating an abscess",https://www2.hse.ie/conditions/abscess/#treating-an-abscess,/conditions/abscess/
Abscess,prevention,"Most skin abscesses are caused by bacteria getting into:

- a minor wound
- the root of a hair
- a blocked oil or sweat gland

Make sure your skin is clean, healthy and free of bacteria. This can help reduce the risk of developing a skin abscess.

Wait until the abscess is fully treated and healed before using any communal equipment. For example, gym equipment, saunas or swimming pools.

You can also reduce the risk of bacteria spreading by:

- washing your hands regularly
- encouraging people in your family to wash their hands regularly
- using separate towels and not sharing baths

Do not squeeze the pus out of the abscess. This can easily spread the bacteria to other areas of your skin. If you use tissues to wipe away any pus, throw them in the bin straight away to avoid germs spreading. Wash your hands after.

Take care when shaving your face, legs, underarm areas or bikini area to avoid nicking your skin, do not:

- share razors
- share toothbrushes
- use unclean razors
- use blunt razors

You can also reduce your risk by:

- maintaining a healthy, balanced diet
- losing weight if you're overweight or obese
- stopping smoking

It's difficult to prevent internal abscesses, as they're often complications of other conditions.",https://www2.hse.ie/conditions/abscess/#preventing-a-skin-abscess,/conditions/abscess/
Abscess,other_types_of_abscess,"There are many other types of abscess, including:

- an anorectal abscess - a build-up of pus inside the bottom (rectum and anus)
- a Bartholin's cyst - a build-up of pus inside one of the Bartholin's glands. These are on each side of the opening of the vagina
- a brain abscess - a rare but potentially life-threatening build-up of pus inside the skull
- a dental abscess - a build-up of pus under a tooth or in the supporting gum and bone
- a quinsy (peritonsillar abscess) - a build-up of pus between one of the tonsils and the wall of the throat
- a pilonidal abscess - a build-up of pus in the skin of the cleft of the buttocks (where the buttocks separate)
- a spinal cord abscess - a build-up of pus around the spinal cord",https://www2.hse.ie/conditions/abscess/#other-types-of-abscess,/conditions/abscess/
